A,B,E
0.4708394384622895,-0.9782275750520323,-4.98178576883825
-0.07934867903214249,-0.7982945267041675,-5.173137604704452
0.6989899869691916,-1.9253314440617046,-5.955413818556847
1.2460456981936752,-0.12563428278618316,-6.02987975328988
0.5708418031483089,-0.6721834959130051,-4.181258961885406
0.3255800051860406,-1.3899081543184166,-2.461708594465819
0.7217056627733603,-0.6150331399793315,-5.444958052927436
0.7936253186087936,-0.7810551472919618,-5.08492308534783
0.5766656573663074,0.0018951031719387501,-6.165496559381639
0.9076289917779284,-0.6506384116146595,-6.29029336262087
0.1933535372786993,-0.8252263268113824,-5.065345627361506
0.8311147866097964,-1.7407251671489634,-6.668718354473025
1.2351056584260371,-1.0522097642108195,-3.1694887649282384
0.8280170242872389,-1.2600407202230581,-2.8673140688495553
0.9441683696713428,-1.6945525784416637,-5.303691166477514
0.8362972696118941,-0.5915525716914457,-4.093489553227399
1.1772040302096418,-0.04428389447291681,-4.585475581816333
1.477646086881771,-1.1731523817284393,-5.27237555282209
2.008601057816045,-1.2502356478810313,-6.0929386664968375
1.238373102206765,-0.6750370330136413,-7.872010426215997
1.3649493474141046,-0.09863152061455416,-7.1820589265443076
1.7006455218166083,-1.1521120213926859,-4.586287623789606
0.9239698744888964,-1.3361105216072304,-4.863592026602555
0.41077186744718086,-1.480052299171075,-4.507331136043142
1.4319387907658807,-0.32315739542993926,-6.227140928359736
1.5254578165363184,-1.3597354628547313,-6.283409573411335
1.0019249709657096,-1.4048741638366982,-4.276409100305719
1.1977316791984822,-1.949093581644366,-6.047005837095325
1.0612903475466717,-1.6356114416457093,-4.328466484064949
1.1709611976862904,0.1053799318780404,-6.3297704896767755
1.029551735544085,-0.9263029352637233,-3.766566956011422
0.23569756438710265,-1.0885208796277999,-4.084339481885053
2.0715533068757845,-1.3332345998124342,-3.1397241377786935
1.332220762933032,-1.0725733900017735,-5.433405346575952
1.7206216733224045,-0.5860224230709128,-4.595740573732216
0.6905314183433674,-1.162265327823264,-6.838155241134851
1.687738889593716,-1.1705216569286914,-4.049137214668532
1.1357434488565687,-0.9790847660765137,-5.598954028951319
0.2990768723849272,-1.9923326548404576,-4.946990683810683
0.9375860750720656,-0.6548151367782931,-5.024180849244406
0.9560212088271837,-1.5403728877330622,-3.1635110494448497
0.6033427965528892,-1.5764600151839951,-6.002988597574704
1.6074858384264594,-0.8165470090185754,-4.660104280683213
0.38076999757491914,-1.1124859025244596,-4.109872375750512
1.2658746948626167,-1.0845285835723888,-3.992244384908023
0.3076038533816162,-0.3698112047110238,-4.017850483168491
0.9741322227447431,-0.9783013876109192,-4.314672511347584
1.453257594342737,-0.7029895671189512,-5.299635466404876
1.5182140461464884,-2.1527564001680854,-4.449896126097562
0.47664941848533193,-1.0224558256186742,-4.9944476520419085
